LOR-ID,Name,Anschrift,PLZ / Ort,Träger,Kapazität
07030302,Heilsarmee Kita Volltreffer,Fregestr. 13-14,12159 Berlin,Die Heilsarmee in Deutschland,55
07030302,Kinderladen "Friedenauer Spatzen",Sponholzstr. 51-52,12159 Berlin,Frecher Spatz e.V.,25
07030302,Humanistische Kita Friedenauer Strolche,Sponholzstr. 16,12159 Berlin,"Humanistischer Verband Deutschlands, Landesverband Berlin-Brandenburg e. V.",175
07030302,Krippe Holsteinische Straße,Holsteinische Str. 30,12161 Berlin,Nachbarschaftsheim Schöneberg e.V.,28
07030302,Kita Sponholzstraße,Sponholzstr. 15,12159 Berlin,Nachbarschaftsheim Schöneberg e.V.,45
07030302,Kita Hedwigstr.,Hedwigstr. 13,12159 Berlin,Nachbarschaftsheim Schöneberg e.V.,56
07030302,Kita Wielandstraße,Wielandstr. 23,12157 Berlin,Nachbarschaftsheim Schöneberg e.V.,28
07030302,Kita Fregestr.,Fregestr. 021-22,12159 Berlin,Orte für Kinder GmbH,119
07030302,Kita Villa Anna -Krippe-,Holsteinische Str. 33A,12161 Berlin,Schöneberger Vorschulerziehung e. V.,12
07030302,EKT - Trotzköpfchen,Hedwigstr. 12,12159 Berlin,Trotzköpfchen e.V.,16
07030303,EKT Großstadtpflänzchen,Cranachstr. 39,12157 Berlin,EKI Großstadtpflänzchen e.V.,16
07030303,Kita Nathanael/ Ev. Kirchengem. Philippus-Nathanael,Grazer Platz 4,12157 Berlin,Ev. Kirchengem. Philippus-Nathanael,77
07030303,EKT - Friedenauer Elterninitiative,Menzelstr. 26,12157 Berlin,Friedenauer Elterninitiative für eine Kindertagesstätte e. V.,20
07030303,EKT Harrys Kid's Club,Peter-Vischer-Str. 12,12157 Berlin,Harrys Kid's Club - Lückeprojekt e.V.,26
07030303,"IB-Kita, Internationaler Bund",Vorarlberger Damm 17,12157 Berlin,Internationaler Bund - IB Berlin-Brandenburg gGmbH für Bildung und soziale Dienste (IB Berlin-Brandenburg gGmbH),100
07030303,Kita der Kath. Kirchengem. St. Norbert,Rubensstr. 74,12157 Berlin,Kath. Kirchengemeinde St. Norbert,50
07030303,Kita Prellerweg,Prellerweg 5-7,12157 Berlin,Kindertagesstätten Berlin Süd-West,125
07030303,Kita Riemenschneiderweg,Riemenschneiderweg 12,12157 Berlin,Nachbarschaftsheim Schöneberg e.V.,134
